filename	word	vowel	freq_f1	amp_f1	width_f1	freq_f2	amp_f2	width_f2	freq_f3	amp_f3	width_f3	freq_h1	amp_h1	freq_h2	amp_h2	amp_h3	amp_p0	freq_p0	p0_id	p0prominence	a1p0_h1	a1p0_h2	a1p0_h3	a1p0	a1p0_compensated	freq_p1	amp_p1	a1p1	a1p1_compensated	a3p0	vwl_amp_rms	vwl_duration	timepoint	point_time	point_vwlpct	attempted_fix	status	errorflag	initial_bi
T0055G0002S0001	n?ii3	n?	375	50.03	336	1315	35.36	366	2566	23.45	241	125	49.2	250	49.78	50.03	49.78	250	H2	0.16	0.83	0.25	0.00315	0.25	2.52359	1000	33.13	16.9	19.22714	-26.33401	0.093437106	40	1	0.77	0	None	Auto	None	n
T0055G0002S0001	n?ii3	ii3	344	48.26	184	1659	16.51	1662	2370	31.43	134	125	46.6	250	46.58	48.26	46.6	125	H1	0.02	1.66	1.68	0.00377	1.66	3.75734	938	28.05	20.21	21.57305	-15.16654	0.095778767	70	1	0.81	0	None	Auto	None	n
T0055G0002S0001	n?2n	n	469	50.97	87	1732	36.63	148	2519	27.31	647	125	45.24	219	47.71	47.1	47.71	219	H2	1.53	5.73	3.26	3.86661	3.26	5.57825	938	29.62	21.35	23.05592	-20.39515	0.098318791	70	1	0.99	0	None	Auto	None	n
T0055G0002S0001	n?2n	?2	344	42.54	501	1387	23.58	843	2547	17.21	446	125	40.79	219	43.12	42.54	43.12	219	H2	1.46	1.75	-0.58	0.0038	-0.58	1.51536	906	24.93	17.61	19.30358	-25.91071	0.094553688	80	1	1.06	0	None	Auto	None	n
T0055G0002S0002	l?2n	l	563	34.13	298	1412	34.15	188	2367	25.24	169	125	39.43	219	39.54	35.1	39.54	219	H2	2.27	-5.3	-5.41	-0.97197	-5.41	-3.26275	906	34.43	-0.3	2.11122	-14.30178	0.051475637	130	1	0.38	0	None	Auto	Crash-PulseBegin	l
T0055G0002S0002	l?2n	?2	563	33.74	270	1420	33.69	166	2410	25.98	158	125	39.43	219	39.31	35.13	39.43	125	H1	0.13	-5.69	-5.57	-1.39098	-5.69	-3.64462	906	34.48	-0.74	1.71122	-13.44576	0.056237567	50	1	0.51	0	None	Auto	None	l
T0055G0002S0002	naa3	n	531	45	214	1163	42.33	91	2430	27.38	148	125	43.15	250	44.69	40.46	44.69	250	H2	2.88	1.85	0.31	4.54445	0.31	2.57596	1031	36.46	8.54	13.36236	-17.31481	0.063449668	70	1	0.77	0	None	Auto	None	n
T0055G0002S0002	naa3	aa3	375	41.67	201	1360	27.23	247	2561	17.77	207	125	43.97	250	37.09	41.67	43.97	125	H1	6.89	-2.3	4.58	0.00499	-2.3	-0.208	969	20.81	20.86	23.03409	-26.19691	0.063986531	100	1	0.84	0	None	Auto	None	n
T0055G0002S0002	l?uu4	l?	406	35.82	326	2093	29.6	293	2519	23.02	2073	94	34.94	219	39.11	31.02	39.11	219	H2	6.13	0.88	-3.29	4.79582	-3.29	-1.14609	906	20.63	15.19	17.00101	-16.09212	0.057734212	80	1	1.25	0	None	Auto	None	l
T0055G0002S0002	l?uu4	uu4	469	44.58	126	955	36.85	109	2388	14.53	143	125	37.42	219	44.77	42.53	44.77	219	H2	4.8	7.16	-0.19	2.04842	-0.19	2.23921	938	36.85	7.73	16.44105	-30.24118	0.05470392	70	1	1.33	0	None	Auto	None	l
T0055G0002S0005	lau3	l	469	40.69	871	1209	34.85	633	2424	24.18	552	125	38.68	219	42.79	37.81	42.79	219	H2	4.54	2.01	-2.1	2.88055	-2.1	-0.04952	906	31.41	9.28	11.58751	-18.60543	0.042039887	60	1	0.56	0	None	Auto	None	l
T0055G0002S0005	lau3	au3	688	41.45	266	1171	37.49	270	2653	20.37	502	125	37.75	219	43.33	34.1	43.33	219	H2	7.41	3.7	-1.88	7.3515	-1.88	0.26207	1031	37.49	3.96	7.87385	-22.95673	0.041692511	110	1	0.62	0	None	Auto	None	l
T0055G0002S0006	n?ii3	n?	406	43.34	184	1465	34.19	177	2402	24.43	229	125	42.27	281	43.29	43.34	43.29	281	H2	0.49	1.07	0.05	0.00391	0.05	2.51161	938	21.38	21.96	23.99326	-18.85854	0.044413987	60	1	0.72	0	None	Auto	None	n
T0055G0002S0006	n?ii3	ii3	375	45.16	88	1716	19.15	607	2593	22.4	303	125	42.07	250	42.3	45.16	42.3	250	H2	-1.32	3.09	2.86	-0.00322	2.86	5.48882	969	16.05	29.11	30.70569	-19.89602	0.048153632	80	1	0.78	0	None	Auto	None	n
T0055G0002S0011	n?ii3	n?	375	46.22	77	2024	27.25	553	2663	31.19	299	125	42.27	250	47.21	46.22	47.21	250	H2	2.97	3.95	-0.99	0.0019	-0.99	1.49764	875	23.83	22.39	23.93059	-16.01594	0.08037157	70	1	0.94	0	None	Auto	None	n
T0055G0002S0011	n?ii3	ii3	344	41.77	174	1577	20.35	1583	2545	29.51	91	125	40.32	250	45.67	41.77	45.67	250	H2	4.63	1.45	-3.9	0.00236	-3.9	-1.46158	938	20.59	21.18	22.59799	-16.15617	0.080471735	80	1	1.01	0	None	Auto	None	n
T0055G0002S0012	lau3	l	469	51.62	147	1010	40.69	191	2398	26.53	74	125	37.13	219	43.51	39.7	43.51	219	H2	5.09	14.49	8.11	11.92072	8.11	10.35289	1031	40.69	10.93	16.41808	-16.97628	0.075090786	80	1	0.99	0	None	Auto	None	l
T0055G0002S0012	lau3	au3	469	48.14	245	1516	24.65	635	2669	22.26	538	125	28.92	219	39.93	34.01	39.93	219	H2	8.47	19.22	8.21	14.13164	8.21	10.39495	1031	32.75	15.39	17.36877	-17.66796	0.074478214	90	1	1.07	0	None	Auto	None	l
T0055G0002S0013	l??4n	l?	375	46.47	92	1514	30.14	191	2494	26.86	115	125	40.18	250	48.21	46.47	48.21	250	H2	4.88	6.29	-1.74	0.00087	-1.74	0.82879	969	26.74	19.73	21.62564	-21.34548	0.076434951	90	1	0.61	0	None	Auto	None	l
T0055G0002S0013	l??4n	?4	281	50.16	129	1929	37.44	169	2786	36.54	221	125	45.15	281	50.16	49.92	50.16	281	H2	2.62	5.01	0	0.23903	0	2.81442	938	22.89	27.27	28.79831	-13.61773	0.078431181	50	1	0.7	0	None	Auto	A1isP0	l
T0055G0002S0013	l?ii4	l?	281	42.38	252	1586	21.2	1464	2404	31.93	114	125	43.81	250	45.4	42.11	45.4	250	H2	2.43	-1.43	-3.02	0.26592	-3.02	-0.67859	1031	25.88	16.5	17.93836	-13.46691	0.077859939	40	1	1.38	0	None	Auto	None	l
T0055G0002S0013	l?ii4	ii4	281	47.95	132	2083	34.6	427	2390	39.72	163	125	43.08	281	47.95	46.37	47.95	281	H2	3.23	4.87	0	1.5827	0	2.88506	938	19.12	28.83	30.27667	-8.23311	0.075390626	110	1	1.42	0	None	Auto	A1isP0	l
T0055G0002S0015	l??u2	l?	313	37.66	174	1871	19.38	287	3079	16.22	656	94	35.5	219	39.59	37.66	39.59	219	H2	3.01	2.16	-1.93	0.00221	-1.93	0.46553	938	7.2	30.46	31.98387	-23.37049	0.042520257	70	1	0.56	0	None	Auto	None	l
T0055G0002S0015	l??u2	?u2	219	42.99	161	1462	24.01	211	2590	5.63	839	125	36.65	219	42.99	39.35	42.99	219	H2	4.99	6.34	0	3.63512	0	2.45416	1000	19.87	23.12	25.1146	-37.35548	0.044067978	90	1	0.63	0	None	Auto	A1isP0	l
T0055G0002S0016	l??u4	l?	406	43.75	353	1424	20.18	925	2495	19.54	491	94	36.08	219	38.58	38.71	38.58	219	H2	1.18	7.67	5.17	5.04391	5.17	7.32519	938	22.86	20.89	22.72939	-19.03916	0.075205069	90	1	1.07	0	None	Auto	None	l
T0055G0002S0016	l??u4	?u4	406	50.93	225	1495	33.18	277	2338	30.41	339	125	39.88	250	43.39	50.93	43.39	250	H2	-2.01	11.05	7.54	0.00435	7.54	9.93397	1031	24.7	26.23	28.27888	-12.98184	0.074816802	80	1	1.16	0	None	Auto	None	l
T0055G0002S0017	l?uu4	l?_0	438	42.28	368	1431	29.18	404	2447	33.48	83	156	42.83	281	36.84	42.28	42.83	156	H1	6	-0.55	5.44	0.00128	-0.55	1.53341	875	28.36	13.92	15.87705	-9.35105	0.052238907	50	1	1.13	0	None	Auto	None	l
T0055G0002S0017	l?uu4	uu4	438	48.71	287	1126	32.29	556	2415	29.14	100	156	41.45	281	38.24	48.71	41.45	156	H1	3.2	7.26	10.47	-0.00081	7.26	9.35609	875	37.47	11.24	13.51899	-12.31425	0.052892067	90	1	1.18	0	None	Auto	None	l
T0055G0002S0017	l??5	l	438	33.29	249	1254	18.32	547	2521	12.15	403	94	26.43	188	30.25	21.14	30.25	188	H2	6.47	6.86	3.04	12.15209	3.04	5.16626	1000	25.57	7.72	10.12399	-18.10242	0.040632839	70	1	2.06	0	None	Auto	None	l
T0055G0002S0017	l??5	??5	563	42.64	92	1174	26.35	301	2659	6.27	596	94	19.43	188	33.21	21.65	33.21	188	H2	12.67	23.21	9.43	20.99143	9.43	11.56631	938	27.76	14.88	17.89261	-26.93532	0.037796262	50	1	2.13	0	None	Auto	None	l
T0055G0002S0018	lau3	l	500	39.76	226	1235	29.58	621	2550	14.31	423	125	35.5	250	38.97	34.93	38.97	250	H2	3.76	4.26	0.79	4.8314	0.79	3.01118	875	27	12.76	15.17493	-24.66445	0.051796538	80	1	0.43	0	None	Auto	Crash-PulseBegin	l
T0055G0002S0018	lau3	au3	594	38.71	162	1295	24.81	422	2598	12.58	531	94	31.42	188	35.87	34.23	35.87	188	H2	3.04	7.29	2.84	4.47986	2.84	4.9637	1000	27.02	11.69	14.29565	-23.29404	0.052039801	100	1	0.51	0	None	Auto	None	l
T0055G0002S0018	lau3	l	500	50.51	58	1225	32.31	228	2326	23.24	114	125	37.97	250	42.72	41.51	42.72	250	H2	2.98	12.54	7.79	8.99659	7.79	10.15953	1000	28.26	22.25	25.27537	-19.4772	0.062887863	70	1	0.82	0	None	Auto	None	l
